sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
40,2,ode,27,cl,CrCL,power,FALSE,TRUE,FP
40,2,ode,28,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,29,vc,SEX,cat,TRUE,FALSE,FN
40,2,ode,29,cl,SEX,cat,FALSE,TRUE,FP
40,2,ode,29,vc,BMI,lin,FALSE,TRUE,FP
40,2,ode,29,vc,BW,lin,FALSE,TRUE,FP
40,2,ode,29,cl,CrCL,lin,FALSE,TRUE,FP
40,2,ode,30,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,30,vc,CrCL,power,FALSE,TRUE,FP
40,2,ode,31,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,31,cl,BW,power,FALSE,TRUE,FP
40,2,ode,32,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,33,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,33,vc,BMI,lin,FALSE,TRUE,FP
40,2,ode,33,vc,BW,lin,FALSE,TRUE,FP
40,2,ode,33,cl,BMI,lin,FALSE,TRUE,FP
40,2,ode,34,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,35,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,35,cl,RACE,cat,FALSE,TRUE,FP
40,2,ode,36,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,37,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,37,cl,BMI,power,FALSE,TRUE,FP
40,2,ode,38,vc,SEX,cat,TRUE,FALSE,FN
40,2,ode,38,vc,BW,power,FALSE,TRUE,FP
40,2,ode,38,vc,BMI,power,FALSE,TRUE,FP
40,2,ode,38,cl,CrCL,power,FALSE,TRUE,FP
40,2,ode,39,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,39,cl,CrCL,lin,FALSE,TRUE,FP
40,2,ode,40,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,41,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,42,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,42,vc,RACE,cat,FALSE,TRUE,FP
40,2,ode,43,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,43,cl,RACE,cat,FALSE,TRUE,FP
40,2,ode,44,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,45,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,45,cl,BW,lin,FALSE,TRUE,FP
40,2,ode,46,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,46,cl,RACE,cat,FALSE,TRUE,FP
40,2,ode,47,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,47,cl,RACE,cat,FALSE,TRUE,FP
40,2,ode,48,vc,SEX,cat,TRUE,FALSE,FN
40,2,ode,48,vc,BMI,lin,FALSE,TRUE,FP
40,2,ode,48,vc,BW,lin,FALSE,TRUE,FP
40,2,ode,49,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,49,vc,RACE,cat,FALSE,TRUE,FP
40,2,ode,50,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,50,cl,SEX,cat,FALSE,TRUE,FP
40,2,ode,50,cl,CrCL,lin,FALSE,TRUE,FP
40,2,ode,51,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,52,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,52,vc,BMI,power,FALSE,TRUE,FP
40,2,ode,53,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,54,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,54,cl,BMI,lin,FALSE,TRUE,FP
40,2,ode,55,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,56,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,57,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,57,cl,BW,power,FALSE,TRUE,FP
40,2,ode,57,cl,BMI,lin,FALSE,TRUE,FP
40,2,ode,58,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,58,vc,RACE,cat,FALSE,TRUE,FP
40,2,ode,59,vc,SEX,cat,TRUE,FALSE,FN
