sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,13,linCmt,cl,BMI,lin,17,FALSE,17,1,0,0,17
40,13,linCmt,cl,BMI,power,11,FALSE,11,1,0,0,11
40,13,linCmt,cl,BW,lin,32,FALSE,32,1,0,0,32
40,13,linCmt,cl,CrCL,lin,23,FALSE,23,1,0,0,23
40,13,linCmt,cl,RACE,cat,13,FALSE,13,1,0,0,13
40,13,linCmt,cl,SEX,cat,13,FALSE,13,1,0,0,13
40,13,linCmt,vc,BMI,lin,3,FALSE,3,1,0,0,3
40,13,linCmt,vc,BMI,power,7,FALSE,7,1,0,0,7
40,13,linCmt,vc,BW,lin,5,FALSE,5,1,0,0,5
40,13,linCmt,vc,BW,power,3,FALSE,3,1,0,0,3
