sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
80,3,linCmt,7,vc,BMI,power,FALSE,TRUE,FP
80,3,linCmt,7,cl,BMI,power,FALSE,TRUE,FP
80,3,linCmt,8,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,9,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,10,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,11,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,12,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,13,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,14,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,14,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,15,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,15,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,16,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,17,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,18,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,19,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,19,cl,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,20,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,21,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,22,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,23,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,24,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,25,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,25,cl,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,26,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,27,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,28,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,29,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,30,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,31,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,31,cl,SEX,cat,FALSE,TRUE,FP
80,3,linCmt,32,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,33,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,34,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,35,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,36,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,37,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,37,cl,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,38,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,38,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,39,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,39,cl,SEX,cat,FALSE,TRUE,FP
80,3,linCmt,40,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,41,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,41,vc,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,42,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,43,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,43,cl,BW,power,FALSE,TRUE,FP
80,3,linCmt,43,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,44,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,45,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,46,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,47,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,48,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,49,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,50,vc,BW,power,TRUE,FALSE,FN
80,3,linCmt,50,vc,BMI,power,FALSE,TRUE,FP
80,3,linCmt,51,vc,BW,power,TRUE,FALSE,FN
80,3,linCmt,51,vc,BMI,power,FALSE,TRUE,FP
80,3,linCmt,52,vc,BW,power,TRUE,FALSE,FN
80,3,linCmt,52,vc,BMI,power,FALSE,TRUE,FP
80,3,linCmt,52,vc,SEX,cat,FALSE,TRUE,FP
80,3,linCmt,53,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,54,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,55,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,56,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,57,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,58,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,59,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,60,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,61,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,61,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,61,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,62,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,63,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,64,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,64,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,65,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,66,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,67,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,67,cl,BMI,power,FALSE,TRUE,FP
80,3,linCmt,68,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,69,vc,BW,power,TRUE,FALSE,FN
80,3,linCmt,69,vc,BMI,power,FALSE,TRUE,FP
80,3,linCmt,70,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,71,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,72,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,73,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,74,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,74,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,75,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,76,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,77,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,78,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,79,vc,BW,power,TRUE,TRUE,TP
