sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
80,1,ode,vae,NA,5,ok,TRUE,TRUE,TRUE,-1463.8945352515786,4.864557125754493,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.73393177986145,
80,1,ode,vae,NA,6,ok,TRUE,TRUE,TRUE,-1550.792289331351,37.454968510637684,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,69.57471776008606,
80,1,ode,vae,NA,7,ok,TRUE,TRUE,TRUE,-1475.658982183232,2.8888501344977406,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.413323640823364,
80,1,ode,vae,NA,8,ok,TRUE,TRUE,TRUE,-1458.1397454226844,12.354921798500014,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,57.6735634803772,
80,1,ode,vae,NA,9,ok,TRUE,TRUE,TRUE,-1583.562873711594,5.915623027965378,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,67.14911079406738,
80,1,ode,vae,NA,10,ok,TRUE,TRUE,TRUE,-1501.2453668827543,3.148912258733099,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,58.005751848220825,
80,1,ode,vae,NA,11,ok,TRUE,TRUE,TRUE,-1533.8108059073415,16.004644922988376,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,57.10554814338684,
80,1,ode,vae,NA,12,ok,TRUE,TRUE,TRUE,-1527.123830480116,93.37542598377439,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.8771436214447,
80,1,ode,vae,NA,13,ok,TRUE,TRUE,TRUE,-1500.862276884132,4.186704095640738,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,58.49917268753052,
80,1,ode,vae,NA,14,ok,TRUE,TRUE,TRUE,-1476.0500707312567,7.360518086195652,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,66.19337916374207,
80,1,ode,vae,NA,15,ok,TRUE,TRUE,TRUE,-1496.4184283198686,4.681612724432796,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,57.406803131103516,
80,1,ode,vae,NA,16,ok,TRUE,TRUE,TRUE,-1533.8292237806236,2.3260923367470703,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,58.94890832901001,
80,1,ode,vae,NA,17,ok,TRUE,TRUE,TRUE,-1537.468289337086,6.029143125750445,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,58.179943799972534,
80,1,ode,vae,NA,18,ok,TRUE,TRUE,TRUE,-1497.645674531062,3.866110471276313,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.69654059410095,
80,1,ode,vae,NA,19,ok,TRUE,TRUE,TRUE,-1468.7040640979028,8.587225158671904,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,58.900654315948486,
80,1,ode,vae,NA,20,ok,TRUE,TRUE,TRUE,-1511.1972218625483,27.02057825021958,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,72.99168467521667,
80,1,ode,vae,NA,21,ok,TRUE,TRUE,TRUE,-1427.2550934621927,3.568430398554373,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,76.42088603973389,
80,1,ode,vae,NA,22,ok,TRUE,TRUE,TRUE,-1501.960236265076,8.48138266182531,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,78.46127772331238,
80,1,ode,vae,NA,23,ok,TRUE,TRUE,TRUE,-1522.0135293819515,203.9110312048734,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,81.10176658630371,
80,1,ode,vae,NA,24,ok,TRUE,TRUE,TRUE,-1497.5739420204447,2.647018933485742,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,75.99639081954956,
