sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,15,ode,cl,SEX,cat,6,FALSE,6,1,0,0,6
80,15,ode,vc,BMI,power,11,FALSE,11,1,0,0,11
80,15,ode,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,15,ode,vc,RACE,cat,5,FALSE,5,1,0,0,5
80,15,ode,vc,SEX,cat,4,FALSE,4,1,0,0,4
80,16,linCmt,cl,BW,power,100,TRUE,83,0.83,83,17,0
80,16,linCmt,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,16,linCmt,vc,BW,power,100,TRUE,91,0.91,91,9,0
80,16,linCmt,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,16,linCmt,cl,BMI,power,17,FALSE,17,1,0,0,17
80,16,linCmt,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,16,linCmt,cl,SEX,cat,5,FALSE,5,1,0,0,5
80,16,linCmt,vc,BMI,power,11,FALSE,11,1,0,0,11
80,16,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,16,ode,cl,BW,power,100,TRUE,83,0.83,83,17,0
80,16,ode,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,16,ode,vc,BW,power,100,TRUE,91,0.91,91,9,0
80,16,ode,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,16,ode,cl,BMI,power,17,FALSE,17,1,0,0,17
80,16,ode,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,16,ode,cl,SEX,cat,5,FALSE,5,1,0,0,5
80,16,ode,vc,BMI,power,11,FALSE,11,1,0,0,11
80,16,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
