sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,3,linCmt,focei,bobyqa,33,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,34,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,35,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,36,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,37,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,38,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,39,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,40,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,41,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,42,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,43,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,43,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,43,cl,BW,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,44,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,45,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,46,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,47,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,48,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,49,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,50,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,51,vc,BW,power,TRUE,FALSE,FN
80,3,linCmt,focei,bobyqa,51,vc,BMI,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,52,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,53,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,54,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,55,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,56,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,57,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,59,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,60,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,61,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,61,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,62,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,63,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,64,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,65,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,66,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,67,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,67,cl,BMI,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,68,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,68,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,69,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,70,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,71,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,72,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,73,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,74,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,75,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,76,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,77,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,78,vc,BW,power,TRUE,TRUE,TP
